DMM IHigh (mA)	TWIST Duty Cycle	TWIST VHigh (mV)	TWIST VLow1 (mV)	TWIST VLow2 (mV)	TWIST IHigh (mA)	TWIST ILow1 (mA)	TWIST ILow2 (mA)
161	50.0	47913.0	25601.0	-90878.0	313.0	152.0	109.0
161	50.0	48049.0	25555.0	-90833.0	336.0	178.0	81.0
295	50.0	47504.0	25230.0	-90923.0	502.0	425.0	137.0
295	50.0	47709.0	25323.0	-90878.0	427.0	468.0	160.0
428	50.0	47981.0	25091.0	-90833.0	628.0	790.0	81.0
428	50.0	47777.0	25137.0	-90923.0	605.0	822.0	99.0
561	50.0	47981.0	24766.0	-90878.0	754.0	1122.0	113.0
561	50.0	48049.0	24859.0	-90923.0	771.0	1063.0	76.0
691	50.0	48254.0	24674.0	-90923.0	937.0	1379.0	90.0
691	50.0	47981.0	24952.0	-90923.0	868.0	1449.0	85.0
823	50.0	48186.0	24813.0	-90833.0	1069.0	1765.0	155.0
823	50.0	47981.0	24859.0	-90878.0	1075.0	1787.0	58.0
954	50.0	47709.0	24720.0	-90878.0	1178.0	1980.0	58.0
954	50.0	47709.0	24581.0	-90878.0	1218.0	1996.0	137.0
1085	50.0	47777.0	24396.0	-90833.0	1327.0	2360.0	85.0
1085	50.0	47777.0	24720.0	-90833.0	1361.0	2360.0	155.0
1216	50.0	47777.0	24627.0	-90878.0	1510.0	2628.0	99.0
1216	50.0	47573.0	24627.0	-90878.0	1481.0	2569.0	132.0
1346	50.0	47981.0	24488.0	-90878.0	1636.0	2886.0	99.0
1346	50.0	47436.0	24581.0	-90878.0	1601.0	2971.0	62.0
1477	50.0	47641.0	24535.0	-90878.0	1796.0	3181.0	62.0
1477	50.0	47573.0	24535.0	-90878.0	1762.0	3122.0	118.0
1607	50.0	47981.0	24581.0	-90878.0	1888.0	3486.0	123.0
1607	50.0	47777.0	24396.0	-90878.0	1928.0	3449.0	76.0
1739	50.0	47709.0	24535.0	-90923.0	2031.0	3840.0	137.0
1739	50.0	47436.0	24303.0	-90878.0	2014.0	3802.0	62.0
1869	50.0	47709.0	24442.0	-90833.0	2220.0	4103.0	104.0
1869	50.0	47913.0	24535.0	-90878.0	2214.0	4124.0	71.0
2000	50.0	47777.0	24396.0	-90923.0	2312.0	4322.0	85.0
2000	50.0	47709.0	24396.0	-90878.0	2323.0	4419.0	34.0
2130	50.0	47709.0	24303.0	-90833.0	2506.0	4623.0	165.0
2130	50.0	47641.0	24396.0	-90878.0	2489.0	4633.0	90.0
2260	50.0	47845.0	24349.0	-90923.0	2632.0	5025.0	30.0
2260	50.0	48049.0	24164.0	-90878.0	2644.0	5025.0	90.0
2391	50.0	47368.0	24349.0	-90833.0	2764.0	5277.0	30.0
2391	50.0	47436.0	24442.0	-90833.0	2804.0	5261.0	127.0
2521	50.0	47913.0	24442.0	-90923.0	2936.0	5539.0	16.0
2521	50.0	47573.0	24349.0	-90923.0	2884.0	5523.0	48.0
2652	50.0	47777.0	24349.0	-90833.0	3062.0	5893.0	62.0
2652	50.0	47232.0	24303.0	-90878.0	3090.0	5877.0	16.0
