DMM VHigh (mV)	DMM VHigh (mV)_stddev	TWIST Duty Cycle	TWIST Duty Cycle_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	VHigh absolute error (mV)	VHigh absolute error -3*std dev(mV)	VHigh absolute error +3*std dev(mV)	VHigh relative error (%)	VHigh -3*std dev relative error (%)	VHigh +3*std dev relative error (%)
15046.0	0.0	50.0	0.0	14912.5	102.5	7567.0	0.0	-90878.0	0.0	962.5	31.5	1328.0	8.0	187.5	32.5	134.0	-174.0	442.0	0.9	-1.2	2.9
19038.5	0.5	50.0	0.0	18522.5	238.5	9560.5	46.5	-90855.5	22.5	934.0	26.0	1344.5	2.5	148.5	2.5	516.0	-200.0	1232.0	2.7	-1.1	6.5
24061.5	0.5	50.0	0.0	23699.0	102.0	12226.0	23.0	-90878.0	0.0	862.5	5.5	1312.0	35.0	181.0	49.0	362.0	56.0	668.0	1.5	0.2	2.8
28041.0	0.0	50.0	0.0	27922.0	238.0	14266.0	23.0	-90855.5	22.5	857.0	23.0	1301.5	24.5	162.5	16.5	119.0	-595.0	833.0	0.4	-2.1	3.0
32045.0	0.0	50.0	0.0	31770.5	204.5	16399.0	116.0	-90878.0	45.0	874.0	34.0	1264.0	35.0	185.5	20.5	274.0	-340.0	888.0	0.9	-1.1	2.8
36045.0	0.0	50.0	0.0	35755.0	34.0	18369.0	46.0	-90833.0	0.0	862.5	17.5	1309.5	16.5	139.0	35.0	290.0	188.0	392.0	0.8	0.5	1.1
41048.0	0.0	50.0	0.0	40931.5	102.5	21057.5	92.5	-90878.0	0.0	854.0	9.0	1339.0	40.0	176.5	53.5	116.0	-192.0	424.0	0.3	-0.5	1.0
45062.0	0.0	50.0	0.0	44712.0	68.0	23236.5	92.5	-90878.0	45.0	822.5	5.5	1291.0	35.0	87.5	16.5	350.0	146.0	554.0	0.8	0.3	1.2
49035.0	0.0	50.0	0.0	49037.0	102.0	25184.0	0.0	-90878.0	0.0	794.0	0.0	1298.5	21.5	62.0	42.0	-2.0	-308.0	304.0	-0.0	-0.6	0.6
53051.0	0.0	50.0	0.0	52953.5	136.5	27386.0	23.0	-90900.5	22.5	825.5	14.5	1240.0	59.0	85.0	14.0	98.0	-312.0	508.0	0.2	-0.6	1.0
58045.0	0.0	50.0	0.0	58130.0	0.0	30097.5	46.5	-90878.0	0.0	859.5	14.5	1210.5	29.5	31.5	53.5	-85.0	-85.0	-85.0	-0.1	-0.1	-0.1
62062.0	0.0	50.0	0.0	62387.0	34.0	32045.0	93.0	-90878.0	0.0	817.0	6.0	1181.0	11.0	101.5	2.5	-325.0	-427.0	-223.0	-0.5	-0.7	-0.4
66055.0	0.0	50.0	0.0	65861.0	34.0	34293.0	23.0	-90878.0	0.0	828.0	0.0	1253.0	24.0	27.5	39.5	194.0	92.0	296.0	0.3	0.1	0.4
70035.0	0.0	50.0	0.0	69982.0	0.0	36356.5	46.5	-90878.0	0.0	848.5	14.5	1191.5	5.5	71.5	41.5	53.0	53.0	53.0	0.1	0.1	0.1
75054.0	0.0	50.0	0.0	74545.0	545.0	38929.0	162.0	-90900.5	22.5	828.0	17.0	1175.5	5.5	71.5	23.5	509.0	-1126.0	2144.0	0.7	-1.5	2.9
79049.0	0.0	50.0	0.0	78938.5	102.5	41131.0	93.0	-90878.0	0.0	865.5	2.5	1194.5	2.5	37.0	21.0	110.0	-198.0	418.0	0.1	-0.3	0.5
83063.5	0.5	50.0	0.0	82991.5	204.5	43287.0	23.0	-90900.5	22.5	842.5	14.5	1164.5	53.5	25.0	5.0	72.0	-542.0	686.0	0.1	-0.7	0.8
87058.0	0.0	50.0	0.0	86942.0	68.0	45303.0	0.0	-90878.0	0.0	811.0	17.0	1084.5	48.5	-70.5	25.5	116.0	-88.0	320.0	0.1	-0.1	0.4
92040.0	0.0	50.0	0.0	91777.5	272.5	48061.5	301.5	-90900.5	22.5	859.5	8.5	1162.0	24.0	-65.5	25.5	262.0	-556.0	1080.0	0.3	-0.6	1.2
96051.0	0.0	50.0	0.0	95626.0	34.0	50379.5	208.5	-90878.0	0.0	860.0	20.0	1038.5	29.5	-54.5	32.5	425.0	323.0	527.0	0.4	0.3	0.5
