DMM IHigh (mA)	DMM IHigh (mA)_stddev	TWIST Duty Cycle	TWIST Duty Cycle_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	IHigh absolute error (mA)	IHigh absolute error -3*std dev(mA)	IHigh absolute error +3*std dev(mA)	IHigh relative error (%)	IHigh -3*std dev relative error (%)	IHigh +3*std dev relative error (%)
134.6	0.49	50.0	0.0	47477.5	171.91	24024.8	83.7	24397.8	99.93	55.6	38.66	38.1	29.39	155.9	24.17	79.0	-37.0	195.0	58.7	-27.5	144.9
328.0	0.0	50.0	0.0	47437.0	184.29	23236.2	85.15	24356.3	79.36	261.5	44.36	401.5	29.0	124.0	29.2	66.0	-67.0	199.0	20.1	-20.4	60.7
520.0	0.0	50.0	0.0	47437.0	151.65	22493.9	117.6	24342.5	119.18	450.2	44.48	791.4	39.68	107.3	32.16	70.0	-63.0	203.0	13.5	-12.1	39.0
710.0	0.0	50.0	0.0	47518.2	113.08	22433.7	92.68	24398.0	132.85	626.0	60.86	1159.8	46.5	97.0	43.64	84.0	-99.0	267.0	11.8	-13.9	37.6
901.0	0.0	50.0	0.0	47484.3	153.22	22304.8	102.45	24370.1	69.17	802.1	47.96	1539.0	28.07	84.7	31.71	99.0	-45.0	243.0	11.0	-5.0	27.0
1091.0	0.0	50.0	0.0	47497.7	234.28	22313.9	136.9	24439.3	118.57	1013.3	43.26	1962.0	37.93	81.0	46.09	78.0	-52.0	208.0	7.1	-4.8	19.1
1281.0	0.0	50.0	0.0	47497.7	181.48	22323.1	124.99	24517.8	133.81	1210.3	32.59	2347.3	37.26	74.6	23.48	71.0	-27.0	169.0	5.5	-2.1	13.2
1471.0	0.0	50.0	0.0	47578.7	230.32	22249.5	101.41	24508.7	127.57	1371.8	35.23	2738.3	46.5	75.6	35.65	99.0	-7.0	205.0	6.7	-0.5	13.9
1661.0	0.0	50.0	0.0	47666.5	166.57	22350.8	98.23	24568.8	86.79	1568.1	42.67	3133.3	34.97	50.3	48.73	93.0	-35.0	221.0	5.6	-2.1	13.3
1850.0	0.0	50.0	0.0	47639.4	181.76	22277.0	146.92	24467.1	92.91	1779.6	79.46	3550.9	46.25	66.0	31.62	70.0	-168.0	308.0	3.8	-9.1	16.6
2039.6	0.49	50.0	0.0	47565.2	228.28	22240.3	105.53	24573.3	69.8	1955.8	33.34	3893.1	48.92	72.4	25.24	84.0	-16.0	184.0	4.1	-0.8	9.0
2229.0	0.0	50.0	0.0	47652.9	207.06	22161.9	138.45	24540.9	136.54	2143.9	41.2	4312.0	36.79	50.4	47.1	85.0	-39.0	209.0	3.8	-1.7	9.4
2418.9	0.3	50.0	0.0	47599.0	177.27	22129.3	85.2	24522.3	133.49	2286.9	46.1	4698.2	36.26	39.0	35.12	132.0	-6.0	270.0	5.5	-0.2	11.2
2608.0	0.0	50.0	0.0	47605.8	245.18	22231.0	96.36	24628.5	97.71	2486.2	69.04	5102.7	41.4	-2.1	39.88	122.0	-85.0	329.0	4.7	-3.3	12.6
2797.4	0.49	50.0	0.0	47727.2	219.33	22235.7	87.63	24596.3	107.44	2691.5	54.71	5506.6	46.56	14.5	37.99	106.0	-58.0	270.0	3.8	-2.1	9.7
2987.0	0.0	50.0	0.0	47619.3	175.4	22110.9	83.2	24600.8	113.51	2866.6	52.7	5887.8	53.95	-6.3	52.99	120.0	-38.0	278.0	4.0	-1.3	9.3
3177.0	0.0	50.0	0.0	47679.9	212.41	22143.3	62.3	24729.8	84.94	3089.8	47.38	6288.9	33.18	-15.6	25.78	87.0	-55.0	229.0	2.7	-1.7	7.2
3366.1	0.3	50.0	0.0	47720.4	193.32	22041.9	119.32	24596.3	118.74	3274.3	56.88	6657.4	34.66	-47.7	52.42	92.0	-79.0	263.0	2.7	-2.3	7.8
3556.3	0.46	50.0	0.0	47605.7	202.6	21894.3	86.14	24531.7	118.57	3454.3	56.88	7054.7	32.58	-33.8	49.31	102.0	-69.0	273.0	2.9	-1.9	7.7
3746.0	0.0	50.0	0.0	47626.1	131.65	21968.1	101.51	24651.5	148.83	3636.5	48.52	7418.5	47.0	-43.3	40.77	110.0	-36.0	256.0	2.9	-1.0	6.8
