DMM ILow (mA)	DMM ILow (mA)_stddev	TWIST Duty Cycle	TWIST Duty Cycle_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	ILow1 absolute error (mA)	ILow1 absolute error -3*std dev(mA)	ILow1 absolute error +3*std dev(mA)	ILow1 relative error (%)	ILow1 -3*std dev relative error (%)	ILow1 +3*std dev relative error (%)
101.0	0.0	50.0	0.0	47403.4	120.75	24098.6	127.34	24462.4	66.28	90.0	43.68	-55.4	22.45	134.2	31.38	156.0	89.0	223.0	154.5	88.1	220.8
491.0	0.0	50.0	0.0	47464.0	210.1	23038.2	82.42	24268.8	84.94	294.7	47.45	327.6	31.1	100.5	47.05	163.0	70.0	256.0	33.2	14.3	52.1
882.6	0.49	50.0	0.0	47315.4	90.77	22350.8	40.1	24241.2	118.27	435.8	39.93	675.8	27.77	58.2	48.24	207.0	124.0	290.0	23.5	14.0	32.9
1272.0	0.0	50.0	0.0	47369.4	176.64	22341.6	140.12	24407.2	138.47	660.8	80.47	1105.9	58.2	84.8	45.24	166.0	-9.0	341.0	13.1	-0.7	26.8
1664.0	0.0	50.0	0.0	47592.1	147.28	22479.9	120.62	24605.5	120.48	868.0	63.35	1467.2	29.03	97.4	43.46	197.0	110.0	284.0	11.8	6.6	17.1
2054.0	0.0	50.0	0.0	47464.0	196.76	22258.7	91.68	24356.2	64.4	1049.1	38.1	1871.4	37.05	85.8	50.3	183.0	72.0	294.0	8.9	3.5	14.3
2444.0	0.0	50.0	0.0	47504.6	160.46	22253.9	128.92	24365.6	92.77	1206.8	42.83	2294.5	45.38	65.1	34.62	150.0	14.0	286.0	6.1	0.6	11.7
2835.0	0.0	50.0	0.0	47572.0	216.05	22240.2	97.2	24522.5	160.79	1423.0	36.97	2654.3	44.71	46.8	45.85	181.0	47.0	315.0	6.4	1.7	11.1
3226.2	0.4	50.0	0.0	47707.0	145.57	22258.5	100.75	24610.2	82.42	1592.4	54.26	3079.4	65.91	46.4	36.04	147.0	-51.0	345.0	4.6	-1.6	10.7
3616.2	0.4	50.0	0.0	47396.4	207.96	22009.4	58.91	24273.4	130.43	1763.7	51.17	3460.1	33.66	43.7	33.27	156.0	55.0	257.0	4.3	1.5	7.1
4008.0	0.0	50.0	0.0	47214.3	140.92	21719.1	108.23	24093.9	101.51	1912.9	78.93	3822.5	29.47	-33.0	48.12	186.0	98.0	274.0	4.6	2.4	6.8
4398.0	0.0	50.0	0.0	47342.5	122.48	21917.4	96.93	24268.8	89.79	2097.4	42.1	4208.2	42.52	-16.3	45.47	190.0	62.0	318.0	4.3	1.4	7.2
4790.0	0.0	50.0	0.0	47383.0	154.04	21848.4	59.8	24268.8	131.8	2360.3	52.41	4599.4	37.66	-8.5	27.76	191.0	78.0	304.0	4.0	1.6	6.3
5180.0	0.0	50.0	0.0	47362.8	157.34	21732.9	88.18	24195.2	131.8	2501.6	44.49	4984.0	61.46	-25.9	37.8	196.0	12.0	380.0	3.8	0.2	7.3
5571.9	0.3	50.0	0.0	47369.5	139.0	21760.5	82.73	24236.6	58.91	2657.1	36.71	5354.3	31.96	-41.8	20.01	218.0	122.0	314.0	3.9	2.2	5.6
5962.5	0.5	50.0	0.0	47335.8	200.14	21603.7	103.42	24130.8	54.62	2810.6	41.66	5744.4	49.38	-42.9	39.07	218.0	70.0	366.0	3.7	1.2	6.1
6354.8	0.4	50.0	0.0	47315.6	131.76	21507.0	115.0	24061.7	89.39	3037.5	58.73	6126.8	39.16	-80.1	49.61	228.0	111.0	345.0	3.6	1.7	5.4
6745.3	0.46	50.0	0.0	47315.6	117.11	21534.6	75.45	24116.9	109.07	3195.7	59.6	6539.6	67.04	-68.3	43.72	206.0	5.0	407.0	3.1	0.1	6.0
7137.3	0.46	50.0	0.0	47308.7	214.03	21419.4	125.81	24029.3	95.68	3367.1	57.25	6913.0	57.15	-96.6	46.33	224.0	53.0	395.0	3.1	0.7	5.5
7528.9	0.3	50.0	0.0	47349.2	202.14	21308.5	91.96	23992.4	107.43	3571.9	55.12	7267.1	51.06	-107.4	39.86	262.0	109.0	415.0	3.5	1.4	5.5
