DMM VLow (mV)	DMM VLow (mV)_stddev	TWIST Duty Cycle	TWIST Duty Cycle_stddev	TWIST VHigh (mV)	TWIST VHigh (mV)_stddev	TWIST VLow1 (mV)	TWIST VLow1 (mV)_stddev	TWIST VLow2 (mV)	TWIST VLow2 (mV)_stddev	TWIST IHigh (mA)	TWIST IHigh (mA)_stddev	TWIST ILow1 (mA)	TWIST ILow1 (mA)_stddev	TWIST ILow2 (mA)	TWIST ILow2 (mA)_stddev	VLow1 absolute error (mV)	VLow1 absolute error -3*std dev(mV)	VLow1 absolute error +3*std dev(mV)	VLow1 relative error (%)	VLow1 -3*std dev relative error (%)	VLow1 +3*std dev relative error (%)
3873.5	0.67	5.0	0.0	96049.7	256.35	3013.7	97.39	6833.0	74.17	49.8	58.75	439.5	226.52	-391.4	74.97	860.0	568.0	1152.0	22.2	14.7	29.7
8443.1	0.54	10.0	0.0	95725.5	160.51	7892.7	120.28	11290.1	103.17	151.8	53.33	422.7	141.2	-301.7	31.03	550.0	189.0	911.0	6.5	2.2	10.8
13108.5	0.67	15.0	0.0	95664.7	265.32	12716.9	97.87	16083.2	98.77	219.1	41.15	501.9	45.77	-134.7	49.17	392.0	98.0	686.0	3.0	0.7	5.2
17882.5	0.92	20.0	0.0	95637.7	128.47	17577.7	109.13	20900.0	87.08	258.6	41.33	600.2	37.79	-31.2	45.43	305.0	-22.0	632.0	1.7	-0.1	3.5
23006.3	0.46	25.0	0.0	95414.8	219.83	22623.1	82.57	25780.6	97.47	322.2	41.97	666.0	63.52	89.4	41.77	383.0	135.0	631.0	1.7	0.6	2.7
28206.1	0.54	30.0	0.0	95320.1	205.16	27995.7	104.93	30763.1	82.01	363.4	31.91	786.7	36.1	161.5	40.67	210.0	-105.0	525.0	0.7	-0.4	1.9
33415.7	0.78	35.0	0.0	95165.1	228.09	33151.8	105.16	35524.0	87.88	403.7	52.49	912.7	58.61	197.2	34.72	264.0	-51.0	579.0	0.8	-0.2	1.7
38470.4	0.66	40.0	0.0	95090.8	197.64	38358.4	78.2	40409.9	99.4	461.4	37.54	935.0	48.1	243.3	36.51	112.0	-123.0	347.0	0.3	-0.3	0.9
43406.9	0.3	45.0	0.0	95138.0	230.85	43205.5	128.83	45175.4	127.56	496.3	34.71	990.3	46.03	267.9	47.33	201.0	-185.0	587.0	0.5	-0.4	1.4
48243.0	0.45	50.0	0.0	95070.6	126.15	48084.7	156.89	50088.8	51.7	523.7	65.34	1011.4	28.7	290.8	34.33	158.0	-313.0	629.0	0.3	-0.6	1.3
52983.8	0.4	55.0	0.0	95131.3	119.97	52867.0	94.83	54877.3	120.51	587.6	36.39	983.2	48.42	272.6	60.52	117.0	-167.0	401.0	0.2	-0.3	0.8
57616.3	0.78	60.0	0.0	95516.2	191.63	57774.2	95.51	59965.8	147.03	614.6	48.02	992.5	40.16	277.6	41.54	-158.0	-445.0	129.0	-0.3	-0.8	0.2
62128.0	0.0	65.0	0.0	95495.8	227.49	62173.8	82.42	64657.6	94.72	608.3	68.34	1017.5	21.69	253.0	47.27	-46.0	-293.0	201.0	-0.1	-0.5	0.3
66487.4	0.66	70.0	0.0	95712.0	189.18	66527.2	155.77	69547.8	130.57	653.7	48.56	949.5	59.13	245.5	46.07	-40.0	-507.0	427.0	-0.1	-0.8	0.6
70852.0	0.77	75.0	0.0	95867.6	131.86	71083.8	99.43	74469.9	133.97	706.3	39.67	963.6	28.92	229.2	24.96	-232.0	-530.0	66.0	-0.3	-0.7	0.1
75365.3	0.46	80.0	0.0	95867.4	109.02	75714.0	168.12	79300.5	99.18	694.5	61.71	938.1	40.2	142.5	44.49	-349.0	-853.0	155.0	-0.5	-1.1	0.2
